epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77639,2.15441,3.02153,2.04194,0.01067,0.84211,0.04135,0.01251,2.33675,2.95491,2.18639,2e-05,2e-05,2e-05
2,11.0607,2.10267,2.82548,1.94547,0.01267,1,0.17138,0.06479,1.69024,2.72392,1.71243,5.8812e-05,5.8812e-05,5.8812e-05
3,16.2426,1.67763,2.7389,1.63597,0.01267,1,0.40576,0.1852,1.25217,2.62689,1.48018,9.604e-05,9.604e-05,9.604e-05
4,21.4817,1.16311,2.54909,1.31262,0.01267,1,0.59049,0.27944,0.87513,2.64477,1.23276,0.000131684,0.000131684,0.000131684
5,26.6644,0.91155,2.26855,1.16166,0.01267,1,0.56121,0.27611,0.83029,2.54036,1.12076,0.000165744,0.000165744,0.000165744
6,31.7302,0.88289,1.94796,1.15961,0.01267,1,0.68964,0.40641,0.8407,2.41357,1.02133,0.00019822,0.00019822,0.00019822
7,36.9939,0.83797,1.73569,1.0759,0.01267,1,0.82301,0.527,0.8556,2.22938,1.00264,0.000229112,0.000229112,0.000229112
8,42.2078,0.80609,1.36613,1.00953,0.70092,0.94737,0.94715,0.62655,0.94247,1.97743,1.08657,0.00025842,0.00025842,0.00025842
9,47.4976,0.78778,1.12167,1.01798,0.9221,0.6236,0.961,0.6317,0.99053,1.85726,1.12364,0.000286144,0.000286144,0.000286144
10,52.7005,0.77401,1.05375,1.02485,0.93374,0.74199,0.956,0.64048,0.94238,1.75056,1.06651,0.000312284,0.000312284,0.000312284
11,57.9805,0.83961,0.98519,0.99654,0.94876,0.97512,0.9585,0.64867,1.01798,1.70909,1.12076,0.00033684,0.00033684,0.00033684
12,63.2038,0.73947,0.8736,0.9794,0.93763,1,0.9635,0.65822,1.11596,1.61773,1.26538,0.000359812,0.000359812,0.000359812
13,68.3679,0.77998,0.87095,1.03705,1,0.98683,0.995,0.71719,1.06423,1.42127,1.24089,0.0003812,0.0003812,0.0003812
14,74.0216,0.71336,0.85233,0.96777,0.99518,1,0.995,0.74658,0.99977,1.17653,1.18564,0.000401004,0.000401004,0.000401004
15,79.3877,0.74595,0.81337,0.98887,0.99944,1,0.995,0.76556,0.97299,0.96174,1.15272,0.000419224,0.000419224,0.000419224
16,84.4798,0.71907,0.75002,0.97565,1,0.99604,0.995,0.74997,0.81476,0.81076,0.99504,0.00043586,0.00043586,0.00043586
17,89.6976,0.69218,0.7464,0.95759,0.99314,0.94737,0.9925,0.77225,0.78744,0.88211,0.97163,0.000450912,0.000450912,0.000450912
18,95.115,0.7504,0.79002,1.00429,1,0.99162,0.995,0.75035,0.83388,1.07324,0.99469,0.00046438,0.00046438,0.00046438
19,100.25,0.69075,0.7404,0.9651,0.94394,1,0.9925,0.74534,0.82243,1.21761,0.98698,0.000476264,0.000476264,0.000476264
20,105.451,0.62547,0.67503,0.93161,0.94714,1,0.9925,0.77529,0.75217,1.06973,0.9561,0.000486564,0.000486564,0.000486564
21,110.755,0.68004,0.72193,1.00765,0.94818,1,0.9925,0.81525,0.66916,0.92405,0.92151,0.00049528,0.00049528,0.00049528
22,115.99,0.66423,0.65926,0.9468,0.99455,0.94737,0.9925,0.82516,0.6501,0.82108,0.92163,0.000502412,0.000502412,0.000502412
23,121.246,0.67606,0.64957,0.97092,0.99446,0.94737,0.9925,0.81105,0.68393,0.77043,0.93853,0.00050796,0.00050796,0.00050796
24,126.47,0.64442,0.63469,0.93529,0.99299,0.94737,0.9925,0.80261,0.70492,0.7385,0.93544,0.000511924,0.000511924,0.000511924
25,131.763,0.6534,0.67138,0.97475,0.9496,0.99199,0.9925,0.79902,0.74343,0.7274,0.93731,0.000514304,0.000514304,0.000514304
26,136.982,0.63419,0.6131,0.94381,0.9977,0.94737,0.9925,0.81833,0.70452,0.72046,0.93248,0.0005151,0.0005151,0.0005151
27,142.196,0.66226,0.63737,0.95543,1,0.98972,0.995,0.81655,0.709,0.70582,0.94837,0.000514312,0.000514312,0.000514312
28,147.317,0.58727,0.60144,0.92714,1,0.98972,0.995,0.81655,0.709,0.70582,0.94837,0.00051194,0.00051194,0.00051194
29,152.615,0.61992,0.63877,0.94254,1,0.99888,0.995,0.81116,0.73285,0.71169,0.95662,0.000507984,0.000507984,0.000507984
30,157.863,0.61369,0.62283,0.96287,0.99294,1,0.995,0.82225,0.70532,0.70186,0.91167,0.000502444,0.000502444,0.000502444
31,163.109,0.61784,0.62036,0.9359,0.99294,1,0.995,0.82225,0.70532,0.70186,0.91167,0.00049532,0.00049532,0.00049532
32,168.361,0.62963,0.63066,0.94721,0.9466,1,0.99,0.80542,0.73039,0.71777,0.8978,0.000486612,0.000486612,0.000486612
33,173.567,0.61761,0.6552,0.97715,0.94739,1,0.99,0.81141,0.72805,0.71436,0.89474,0.00047632,0.00047632,0.00047632
34,178.768,0.59317,0.62741,0.93098,0.94739,1,0.99,0.81141,0.72805,0.71436,0.89474,0.000464444,0.000464444,0.000464444
35,184.105,0.64734,0.63393,0.94196,0.99711,1,0.995,0.81812,0.73639,0.71187,0.90999,0.000450984,0.000450984,0.000450984
36,189.34,0.60231,0.58438,0.93955,0.99732,1,0.995,0.82477,0.71542,0.70841,0.90192,0.00043594,0.00043594,0.00043594
37,194.4,0.62037,0.63082,0.94104,0.99732,1,0.995,0.82477,0.71542,0.70841,0.90192,0.000419312,0.000419312,0.000419312
38,199.903,0.59503,0.58036,0.9204,1,0.99565,0.995,0.85387,0.69529,0.72995,0.88765,0.0004011,0.0004011,0.0004011
39,205.078,0.60267,0.60295,0.92341,1,0.98554,0.995,0.82844,0.71735,0.72981,0.88947,0.000381304,0.000381304,0.000381304
40,210.286,0.54439,0.56634,0.89235,1,0.98554,0.995,0.82844,0.71735,0.72981,0.88947,0.000359924,0.000359924,0.000359924
41,215.467,0.62678,0.78878,0.92363,1,0.99398,0.995,0.83134,0.73551,0.72417,0.89623,0.00033696,0.00033696,0.00033696
42,220.652,0.61971,0.86136,0.92262,0.99655,1,0.995,0.83978,0.71329,0.71113,0.90165,0.000312412,0.000312412,0.000312412
43,225.698,0.56643,0.79573,0.91014,0.99655,1,0.995,0.83978,0.71329,0.71113,0.90165,0.00028628,0.00028628,0.00028628
44,230.733,0.61043,0.78636,0.92265,0.99649,1,0.995,0.84802,0.66871,0.68185,0.89219,0.000258564,0.000258564,0.000258564
45,235.728,0.60708,0.731,0.92907,0.99649,1,0.995,0.84802,0.66871,0.68185,0.89219,0.000229264,0.000229264,0.000229264
46,240.813,0.53148,0.70073,0.91497,0.99668,1,0.995,0.8592,0.65611,0.6831,0.8813,0.00019838,0.00019838,0.00019838
47,245.975,0.51217,0.64582,0.88329,0.99668,1,0.995,0.8592,0.65611,0.6831,0.8813,0.000165912,0.000165912,0.000165912
48,251.119,0.5635,0.70962,0.9181,0.99672,1,0.995,0.85938,0.65327,0.6787,0.87847,0.00013186,0.00013186,0.00013186
49,256.216,0.54785,0.66265,0.91551,0.99672,1,0.995,0.85938,0.65327,0.6787,0.87847,9.6224e-05,9.6224e-05,9.6224e-05
50,261.334,0.54945,0.67463,0.92153,0.99659,1,0.995,0.86465,0.64799,0.66929,0.87568,5.9004e-05,5.9004e-05,5.9004e-05
